2024-06-16 13:28:28.715; INFO; User Session Manager; 10988; 8044] OnPowerChange dwEventType=32787, lpEventData=00000269FC2CCB80
2024-06-16 13:28:28.715; INFO; Mobile Plugin; 10988; 16076] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display On
2024-06-16 13:28:28.715; INFO; User Session Manager; 10988; 8044] OnPowerChange End
2024-06-16 13:28:28.715; INFO; Mobile Plugin; 10988; 16076] display on
2024-06-16 13:28:28.715; INFO; User Experience Improvement Plugin; 10988; 16492] Display On
2024-06-16 13:28:28.715; INFO; GPU Power Saving Plugin ; 10988; 12916] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display On
2024-06-16 13:28:28.715; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Begin
2024-06-16 13:28:28.715; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] Event: 32787 
2024-06-16 13:28:28.715; INFO; Utility Plugin; 10988; 16504] [OnPowerChange] PBT_POWERSETTINGCHANGE
2024-06-16 13:28:28.715; INFO; Utility Plugin; 10988; 16504] OnPowerChange(GUID_CONSOLE_DISPLAY_STATE): eventType:32787, Display On
2024-06-16 13:28:28.721; INFO; GPU Power Saving Plugin ; 10988; 12916] Start NV Service

2024-06-16 13:28:28.771; INFO; Aura Pluing; 10988; 14044] [HIDHelp][GetRGBKBStatus] lpReport[9]: 4
2024-06-16 13:28:28.771; INFO; Aura Pluing; 10988; 14044] [HIDHelp][GetRGBKBStatus] Keyboard_Years = 0x0
2024-06-16 13:28:28.771; INFO; Aura Pluing; 10988; 14044] [HIDHelp][GetRGBKBStatus] Support DefaultColor
2024-06-16 13:28:28.798; INFO; Aura Pluing; 10988; 14044] [HIDHelp][NkeyWDLStatusCommand] Start
2024-06-16 13:28:28.798; INFO; Aura Pluing; 10988; 14044] [HIDHelp][NkeyWDLStatusCommand] End, Early Return, Keyboard_Years = 0 is DT = 0 
2024-06-16 13:28:28.798; ERROR; Aura Pluing; 10988; 14044] [AuraDlg][CheckKeyboardIsDisconnected] Start
2024-06-16 13:28:28.832; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] PBT_APMRESUMEAUTOMATIC Out
2024-06-16 13:28:28.832; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] out
2024-06-16 13:28:28.832; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] in
2024-06-16 13:28:28.832; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] ROGServiceInfo.LightingServiceSupportModernStandbyNotify: 1
2024-06-16 13:28:28.832; INFO; Aura Pluing; 10988; 7196] [AuraPlugin][isConnectedStandby] out
2024-06-16 13:28:29.093; INFO; Aura Pluing; 10988; 14044] [AuraDlg][InitializeAURA] InitializeAURA In 
2024-06-16 13:28:29.104; INFO; Aura Pluing; 10988; 14044] AuraWallpaper's Registry is not Exist !!!
2024-06-16 13:28:29.104; INFO; Aura Pluing; 10988; 14044] AC_Wallpaper's Registry is not Exist !!!
2024-06-16 13:28:29.104; INFO; Aura Pluing; 10988; 14044] Aura Wallpaper Creator 's Registry is not Exist !!!
2024-06-16 13:28:29.164; ERROR; Aura Pluing; 10988; 14044] [AuraDlg][ACPIWMICommandFromBIOS] Command = 0x00060077 FAILED!!!!!
2024-06-16 13:28:29.187; INFO; Aura Pluing; 10988; 14044] [AuraDlg][InitializeAURA] OOBE Complete 
2024-06-16 13:28:29.187; WARNING; Aura Pluing; 10988; 14044] [AuraDlgLog][InitializeAURA] SupportDefaultColor = 1, FirstAuraApplyFlag = 0
2024-06-16 13:28:29.194; INFO; Aura Pluing; 10988; 14044] [AuraDlg][InitializeAURA] ACPIWMICommandFromBIOS Done 
2024-06-16 13:28:29.213; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-16 13:28:29.213; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-16 13:28:29.213; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-16 13:28:29.213; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-16 13:28:29.214; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-16 13:28:29.214; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-16 13:28:29.214; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-16 13:28:29.214; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-16 13:28:29.214; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-16 13:28:29.214; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-16 13:28:29.214; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-16 13:28:29.214; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-16 13:28:29.214; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-16 13:28:29.214; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-16 13:28:29.214; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-16 13:28:29.215; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-16 13:28:29.217; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-16 13:28:29.217; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-16 13:28:29.217; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-16 13:28:29.217; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-16 13:28:29.217; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-16 13:28:29.217; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-16 13:28:29.217; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-16 13:28:29.217; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-16 13:28:29.217; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
