2024-06-15 00:27:16.350; INFO; Aura Pluing; 26852; 14916] [HIDHelp][NkeyWDLStatusCommand] End, Early Return, Keyboard_Years = 0 is DT = 0 
2024-06-15 00:27:16.354; ERROR; Aura Pluing; 26852; 14916] [AuraDlg][CheckKeyboardIsDisconnected] Start
2024-06-15 00:27:16.373; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.373; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.375; INFO; ScenarioProfilePlugIn; 26852; 15816] (CLR_SetCacheXml) AppTag : System_Volume, GUID : System_Volume, Mode : 48, ModeKey : 48, Type : System_Function
2024-06-15 00:27:16.376; INFO; ScenarioProfilePlugIn; 26852; 15816] (CLR_SetCacheXml) AppTag : System_Volume_isMute, GUID : System_Volume_isMute, Mode : False, ModeKey : False, Type : System_Function
2024-06-15 00:27:16.379; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.379; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.382; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.383; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.387; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.388; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.390; INFO; ScenarioProfilePlugIn; 26852; 15816] (CLR_SetCacheXml) AppTag : System_Volume, GUID : System_Volume, Mode : 48, ModeKey : 48, Type : System_Function
2024-06-15 00:27:16.390; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.390; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.391; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.392; INFO; ScenarioProfilePlugIn; 26852; 15816] (CLR_SetCacheXml) AppTag : System_Volume_isMute, GUID : System_Volume_isMute, Mode : False, ModeKey : False, Type : System_Function
2024-06-15 00:27:16.392; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.395; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.395; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.398; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.400; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.401; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.401; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.403; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.404; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.407; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.407; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.409; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.410; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.411; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.414; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.415; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
