2024-06-17 00:41:35.484; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.484; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.484; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.485; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.485; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.485; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.485; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.485; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.485; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.485; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.485; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.485; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.485; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.485; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.485; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.485; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.485; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.485; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.485; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.485; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.485; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.486; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.486; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.486; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.486; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.486; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.486; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.486; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.486; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.486; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.486; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.486; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.486; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.486; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.486; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.486; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.486; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.487; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.487; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.487; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.487; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.487; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.487; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.487; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.487; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.487; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.487; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.487; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.487; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.487; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.487; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.487; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.487; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.487; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.488; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.488; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.488; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.488; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.488; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.488; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.488; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.488; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.488; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.488; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.488; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.488; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:41:35.488; INFO; User Session Manager; 10988; 8044] OnDeviceChange Start
2024-06-17 00:41:35.488; INFO; DenoiseAI Pluing; 10988; 14216] [DenoiseAI] OnDeviceChange Deinit
2024-06-17 00:41:35.488; INFO; User Session Manager; 10988; 8044] OnDeviceChange End
2024-06-17 00:42:19.805; WARNING; Aura Pluing; 10988; 14044] [AuraListener] Get Powersaving command
2024-06-17 00:42:19.805; WARNING; Aura Pluing; 10988; 14044] [AuraListener] Idle 60s, start power saving function
2024-06-17 00:42:19.846; INFO; Aura Pluing; 10988; 14044] [ROGAuraInterface][StopLightingService] OBJECT Success
2024-06-17 00:42:30.365; WARNING; AEF Core; 10988; 21740] Read packet failed from ConsoleBackground.
2024-06-17 00:42:30.365; INFO; AEF Core; 10988; 21740] Leave GetPacket loop - ConsoleBackground.
2024-06-17 00:42:31.027; INFO; User Session Manager; 10988; 120] OnPowerChange Start
2024-06-17 00:42:31.027; INFO; Aura Pluing; 10988; 7832] [AuraPlugin][isConnectedStandby] in
2024-06-17 00:42:31.027; INFO; User Session Manager; 10988; 120] OnPowerChange dwEventType=4, lpEventData=0000000000000000
2024-06-17 00:42:31.027; INFO; Aura Pluing; 10988; 7832] [AuraPlugin][isConnectedStandby] ROGServiceInfo.LightingServiceSupportModernStandbyNotify: 1
2024-06-17 00:42:31.027; INFO; Aura Pluing; 10988; 7832] [AuraPlugin][isConnectedStandby] PBT_APMSUSPEND In
